method,experiment,distribution,arena,sample,foraging_time_min,completed_all_tags,status,elapsed_sim_min,steps,pickups,deposits
centralized_ppo,foraging_time,powerlaw,5x5,1,12,false,duration_elapsed,12,22500,53,53
centralized_ppo,foraging_time,powerlaw,5x5,2,12,false,duration_elapsed,12,22500,59,59
centralized_ppo,foraging_time,powerlaw,5x5,3,12,false,duration_elapsed,12,22500,54,53
centralized_ppo,foraging_time,powerlaw,5x5,4,12,false,duration_elapsed,12,22500,53,51
centralized_ppo,foraging_time,powerlaw,5x5,5,12,false,duration_elapsed,12,22500,54,52
centralized_ppo,foraging_time,powerlaw,5x5,6,12,false,duration_elapsed,12,22500,55,54
centralized_ppo,foraging_time,powerlaw,5x5,7,12,false,duration_elapsed,12,22500,44,44
centralized_ppo,foraging_time,powerlaw,5x5,8,12,false,duration_elapsed,12,22500,58,56
centralized_ppo,foraging_time,powerlaw,5x5,9,12,false,duration_elapsed,12,22500,51,51
centralized_ppo,foraging_time,powerlaw,5x5,10,12,false,duration_elapsed,12,22500,54,53
